Iteration 0:
-0.030524 -1.081059 3.026895
-0.343820 0.022464 2.427042
-0.714121 -0.121855 3.383484
0.357077 -0.765025 4.201525
-0.080349 -0.188602 1.420126
-0.499752 -0.120499 3.248377
-0.063893 -0.439607 2.940264
-0.593812 -0.009734 3.242436
0.386995 0.717439 4.277647
0.217535 -0.057998 1.579493
-0.170356 -0.315188 2.664783
0.184512 0.188563 1.976356
-0.168786 -0.186231 1.865172
-0.287646 -0.220836 2.743850
-0.003089 -0.462417 2.970496
-0.795978 -0.058380 3.014032
0.080175 -0.976687 2.765627
-0.704300 0.248694 3.851604
0.058310 -0.583203 3.275037
-0.164112 -0.267125 2.360307
-0.094986 -0.732118 3.271315
-0.051888 -0.255529 1.864130
-0.894035 0.096872 2.873540
0.095953 0.218574 1.716998
-0.394411 0.278729 3.422195
-1.002338 -0.180348 3.363263
-1.167685 -0.027724 3.668275
-0.062035 -0.320186 2.336955
-0.398358 0.170683 3.057218
Iteration 13:
0.144891 -0.700426 3.476479
-0.080349 -0.188602 1.420126
-0.006175 -0.029606 0.109718
0.080175 -0.976687 2.765627
-0.593812 -0.009734 3.242436
-0.009699 -0.866815 2.723353
0.755394 0.047703 3.108591
-0.164112 -0.042802 1.098552
-0.287646 -0.220836 2.743850
0.662742 0.186735 3.638816
0.166132 -0.208284 1.994058
0.093064 0.182927 1.428795
0.069073 -0.118217 0.826906
-0.094986 -0.732118 3.271315
0.097965 0.187705 1.488007
0.724930 0.000642 3.142751
-0.714121 -0.121855 3.383484
-0.704300 0.248694 3.851604
-0.139481 -0.047384 0.909598
-0.198920 -0.016733 1.349922
-0.063893 -0.439607 2.940264
-0.832595 -0.083781 2.975965
-0.343820 0.022464 2.427042
0.228723 0.211766 2.376816
0.217535 -0.057998 1.579493
0.095953 0.218574 1.716998
0.179555 0.565507 3.544568
0.096605 -0.218911 1.722222
0.184512 0.188563 1.976356
-0.394411 0.278729 3.422195
-0.003089 -0.462417 2.970496
-0.016256 -0.161468 1.030788
0.401325 -0.356494 3.692200
-0.168786 -0.186231 1.865172
-0.499752 -0.120499 3.248377
-0.006368 0.297919 2.122661
-1.002338 -0.062214 2.748761
-0.030524 -1.081059 3.026895
-1.167685 -0.027724 3.668275
-0.795978 -0.058380 3.014032
0.051119 -0.465199 3.012700
0.861632 -0.215619 3.542136
0.150188 0.114728 1.293402
0.107134 0.010978 0.586073
0.102687 0.295274 2.287393
-0.078098 0.075899 0.600447
-0.193802 -0.381596 3.070068
-0.410866 0.227359 3.300539
-0.062035 -0.320186 2.336955
-0.398358 0.170683 3.057218
Iteration 14:
0.955388 0.073462 2.723038
-1.167685 -0.027724 3.668275
-0.168786 -0.186231 1.865172
0.093064 0.182927 1.428795
